ticker,trade_number,entry_date,entry_price,exit_date,exit_price,return_pct,winner,next_open_entry_price,next_open_return_pct,next_open_winner,rsi14_signal,rsi_change_signal,volume_ratio_signal,volume_percentile60_signal,rsi14_prior,volume_ratio_prior,volume_percentile60_prior,atr_pct_prior,above_sma200_prior,sma50_over_200_prior,return_5d_prior,return_20d_prior,body_pct_signal,close_location_signal,price_change_signal,price_up_signal,rsi_cross_up_50,rsi_cross_up_50_price_up,rsi_cross_up_50_last_3_price_up,forward_return_1d_from_close,forward_return_1d_from_next_open,forward_return_5d_from_close,forward_return_5d_from_next_open,forward_return_10d_from_close,forward_return_10d_from_next_open,forward_return_20d_from_close,forward_return_20d_from_next_open,anchor_span,bars_after_anchor,line_drop_pct,breakout_pct
AAPL,154,2025-08-12,229.35,2025-08-20,228.01,-0.884,0,231.07,-1.6242740295148668,0,71.62590995897142,1.8198548651796358,0.90343396572076,0.6833333333333333,69.80605509379178,1.0228791172199765,0.7666666666666667,2.3745617098774296,1,0,11.71871158101796,8.896558335730042,0.7192666988290053,0.6916890080428955,1.087243595386922,1,0,0,0,1.6024384933594593,0.9780585969619615,0.39625517091226303,-0.22071233825247116,-0.1480513825386498,-0.7616739516163928,-1.245373394295668,-1.8522525641580523,,,,
AAPL,155,2025-08-27,229.98,2025-09-05,240.0,4.057,1,230.82,3.6771250324928544,1,64.3471340996673,1.3917452434829372,0.5060065361032373,0.03333333333333333,62.95538885618436,0.8856905452403248,0.65,2.0130567638529104,1,0,-0.5421582234559352,8.538836559852324,0.8223612265430188,0.8446969696969718,0.5145872399808127,1,0,0,0,0.8980866848887104,0.7538341564855777,4.030543624452254,3.881812667879747,-0.19957481886416772,-0.3422580365652905,11.44518200355764,11.285850446235157,,,,
AAPL,156,2025-09-11,229.5867,2025-09-16,237.18,3.007,1,229.22,3.172646365936658,1,52.380802434990436,4.309937494272461,1.0287979243971241,0.55,48.070864940717975,1.7598925514063397,0.9,2.0960947233480987,1,0,-4.897890720006714,-1.245373394295668,1.3883991537376612,0.8894736842105291,1.4286344195070466,1,1,1,1,1.7562926574794524,2.115871215426224,3.412598356736085,3.7780298403280677,11.66804329870017,12.062647238460865,10.437768986653918,10.828025477707005,3.0,1.0,3.2541666666666678,1.4518845461890883e-05
AAPL,157,2025-09-17,238.97,2025-09-18,238.97,-0.3,0,239.97,-0.7167187565112305,0,62.353920379585475,0.8815415165057985,0.9560625058651541,0.4,61.472378863079676,1.3394642362704656,0.75,1.978983695824531,1,1,1.6215062940047043,3.144354454502163,0.008369251370469195,0.5316455696202603,0.35271887465881946,1,0,0,0,-0.46445457968953274,-0.8709422011084711,5.573454956274326,5.142309455348593,6.887317460981612,6.450806350793847,4.330725134942881,3.904654748510228,,,,
AAPL,158,2025-09-19,241.23,2025-09-24,255.22,5.499,1,248.3,2.4869512686266564,1,67.8765925716411,7.488959427413363,3.334859473265837,1.0,60.387633144227735,0.9030415428374639,0.3333333333333333,1.9110100412946898,1,1,3.412598356736085,5.251980000884915,1.770094930149654,0.8686371100164185,3.203295779384563,1,0,0,0,4.309572301425657,3.1333064840918023,4.057026476578418,2.8836085380588017,5.099796334012208,3.9146194120015965,2.7657841140529493,1.606927104309297,,,,
AAPL,159,2025-09-25,255.22,2025-10-10,253.21,-1.088,0,254.1,-0.650255804801254,0,71.93820339862893,3.0592381355372993,0.9237464593157876,0.6666666666666666,68.87896526309163,0.7007114166218062,0.23333333333333334,2.0341925562969614,1,1,5.573454956274326,10.03009027081243,1.4454405434224544,0.945054945054943,1.807300542982837,1,0,0,0,-0.548915793981386,0.5352223534041745,0.10121851520223935,1.1924439197166459,-1.1017246077782539,-0.023612750885482203,1.0550083699925938,2.1566312475403304,,,,
AAPL,160,2025-10-20,255.89,2025-10-31,272.072,6.024,1,261.88,3.5918588666564872,1,66.32176243341272,9.815225267906193,1.9301335306065768,0.9166666666666666,56.50653716550652,0.9341963439424789,0.5666666666666667,1.923274142696033,1,1,2.8621519142169705,2.7657841140529493,2.4815350345851823,0.755428571428573,3.943874113123802,1,0,0,1,0.20210494203782847,0.3398503131205155,2.50533862111042,2.6462501909271463,2.596857840146427,2.737895219184372,1.9905430140329416,2.1307469069802965,,,,
AAPL,161,2025-11-20,270.83,2025-11-21,265.95,-2.102,0,265.95,-0.3,0,51.51800839632642,-4.6544506965838295,0.943621208887258,0.4666666666666667,56.17245909291025,0.8285241276691028,0.23333333333333334,2.030710263265668,1,1,-1.7954437415438673,3.9117817759721563,-1.6910977365875217,0.03470031545741161,-0.8601429848078657,0,0,0,0,1.9680751173708932,2.083098326753152,4.73239436619719,4.850535815002832,4.706103286384966,4.824215078022176,2.7868544600939016,2.902801278435807,13.0,1.0,3.043431170800392,1.0893377549994991
AAPL,162,2025-11-24,271.49,2025-12-03,285.42,4.831,1,275.27,3.3872888436807624,1,65.03811219868689,5.358528443534169,1.3050933040287063,0.8666666666666667,59.67958375515272,1.199450491284443,0.8166666666666667,2.165940559000257,1,1,-0.33772622150435305,3.2988357050452777,1.8530823181986116,0.8229508196721345,1.631735975542381,1,0,0,0,0.3805450855320469,0.6175754713554138,3.7220933603943074,3.9670142042358414,0.45665410263844297,0.6938642060522415,-1.2902290518991055,-1.057143895084811,,,,
AAPL,163,2025-12-17,275.01,2025-12-22,271.84,-1.453,0,273.61,-0.9469061803296803,0,45.11399609749971,-4.987319539993102,1.1709779577652284,0.7833333333333333,50.10131563749281,0.8717721378442254,0.16666666666666666,1.7905592780580522,1,1,-0.9271953243379705,2.673296941598746,-1.1526853568961188,0.044247787610616575,-1.0087032518845018,0,0,0,0,0.12875220718069347,-0.518986879134542,0.7246909947027813,0.07309674354007978,-0.30532666274278863,-0.9502576660209816,-5.999852854620357,-6.607945616022814,9.0,1.0,4.04961565338923,0.6175047766169216
