symbol,timestamp_ny,session,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_nonzero
SMCI,2026-09-23T16:00:00-04:00,after hours,41.44,41.5,41.35,41.37,0,0.0,0.0,False
SMCI,2026-09-23T16:30:00-04:00,after hours,41.3857,41.44,41.35,41.43,0,0.0,0.0,False
SMCI,2026-09-23T17:00:00-04:00,after hours,41.4,41.5,41.39,41.49,0,0.0,0.0,False
SMCI,2026-09-23T17:30:00-04:00,after hours,41.49,41.4904,41.42,41.44,0,0.0,0.0,False
SMCI,2026-09-23T18:00:00-04:00,after hours,41.47,41.5,41.44,41.44,0,0.0,0.0,False
SMCI,2026-09-23T18:30:00-04:00,after hours,41.4446,41.49,41.42,41.4403,0,0.0,0.0,False
SMCI,2026-09-23T19:00:00-04:00,after hours,41.45,41.49,41.42,41.4295,0,0.0,0.0,False
SMCI,2026-09-23T19:30:00-04:00,after hours,41.42,41.46,41.35,41.3799,0,0.0,0.0,False
SMR,2026-09-18T16:00:00-04:00,after hours,8.28,8.35,8.21,8.33,15120457,0.0,0.0,True
SMR,2026-09-18T16:30:00-04:00,after hours,8.33,8.35,8.31,8.3411,0,0.0,0.0,False
SMR,2026-09-18T17:00:00-04:00,after hours,8.34,8.35,8.31,8.3389,0,0.0,0.0,False
SMR,2026-09-18T17:30:00-04:00,after hours,8.3389,8.35,8.32,8.3399,0,0.0,0.0,False
SMR,2026-09-18T18:00:00-04:00,after hours,8.34,8.35,8.28,8.34,0,0.0,0.0,False
SMR,2026-09-18T18:30:00-04:00,after hours,8.34,8.35,8.32,8.34,0,0.0,0.0,False
SMR,2026-09-18T19:00:00-04:00,after hours,8.34,8.35,8.29,8.31,0,0.0,0.0,False
SMR,2026-09-18T19:30:00-04:00,after hours,8.32,8.34,8.31,8.32,0,0.0,0.0,False
SMR,2026-09-21T16:00:00-04:00,after hours,8.79,8.84,8.77,8.8098,0,0.0,0.0,False
SMR,2026-09-21T16:30:00-04:00,after hours,8.81,8.82,8.79,8.81,0,0.0,0.0,False
SMR,2026-09-21T17:00:00-04:00,after hours,8.8,8.82,8.79,8.8,0,0.0,0.0,False
SMR,2026-09-21T17:30:00-04:00,after hours,8.8,8.82,8.79,8.7989,0,0.0,0.0,False
SMR,2026-09-21T18:00:00-04:00,after hours,8.7905,8.82,8.7905,8.8,0,0.0,0.0,False
SMR,2026-09-21T18:30:00-04:00,after hours,8.8,8.84,8.79,8.83,0,0.0,0.0,False
SMR,2026-09-21T19:00:00-04:00,after hours,8.8302,8.8598,8.8302,8.8402,0,0.0,0.0,False
SMR,2026-09-21T19:30:00-04:00,after hours,8.85,8.88,8.84,8.855,0,0.0,0.0,False
SMR,2026-09-22T16:00:00-04:00,after hours,8.89,8.98,8.87,8.9361,2190502,0.0,0.0,True
SMR,2026-09-22T16:30:00-04:00,after hours,8.94,8.9442,8.89,8.9436,0,0.0,0.0,False
SMR,2026-09-22T17:00:00-04:00,after hours,8.93,8.93,8.9003,8.9182,0,0.0,0.0,False
SMR,2026-09-22T17:30:00-04:00,after hours,8.91,8.94,8.91,8.93,0,0.0,0.0,False
SMR,2026-09-22T18:00:00-04:00,after hours,8.94,8.94,8.93,8.94,0,0.0,0.0,False
SMR,2026-09-22T18:30:00-04:00,after hours,8.94,8.95,8.93,8.94,0,0.0,0.0,False
SMR,2026-09-22T19:00:00-04:00,after hours,8.93,8.94,8.91,8.92,0,0.0,0.0,False
SMR,2026-09-22T19:30:00-04:00,after hours,8.93,8.94,8.92,8.94,0,0.0,0.0,False
SMR,2026-09-23T16:00:00-04:00,after hours,8.685,8.7129,8.6,8.6596,2259069,0.0,0.0,True
SMR,2026-09-23T16:30:00-04:00,after hours,8.67,8.68,8.65,8.66,0,0.0,0.0,False
SMR,2026-09-23T17:00:00-04:00,after hours,8.66,8.68,8.66,8.68,0,0.0,0.0,False
